_ID, TimeSt,Country,Province,City,Latitude,Longitude,POI,Distance
4516516,2017-06-21 00:00:00.143,CA,ON,Waterloo,43.49347,-80.49123,POI3,7.280109889280518
4516547,2017-06-21 18:00:00.193,CA,ON,London,42.9399,-81.2709,POI3,8.54400374531753
4516550,2017-06-21 15:00:00.287,CA,ON,Guelph,43.5776,-80.2201,POI3,7.280109889280518
4516600,2017-06-21 15:00:00.307,CA,ON,Stratford,43.3716,-80.9773,POI3,7.280109889280518
4516613,2017-06-21 15:00:00.497,CA,ON,Stratford,43.3716,-80.9773,POI3,7.280109889280518
4516693,2017-06-21 14:00:00.597,CA,ON,Kitchener,43.4381,-80.5099,POI3,7.280109889280518
4516771,2017-06-21 10:00:00.873,CA,ON,Sarnia,42.96100000000001,-82.37299999999998,POI3,9.486832980505138
4516831,2017-06-21 12:00:00.950,CA,ON,London,43.0091,-81.1765,POI3,8.246211251235321
4516915,2017-06-21 15:00:01.310,CA,ON,London,43.0091,-81.1765,POI3,8.246211251235321
4516953,2017-06-21 16:00:01.700,CA,ON,Kitchener,43.4278,-80.5135,POI3,7.280109889280518
4516966,2017-06-21 01:00:01.787,CA,ON,Kitchener,43.4381,-80.5099,POI3,7.280109889280518
4517044,2017-06-21 21:00:00.327,CA,ON,Windsor,42.2825,-83.0372,POI3,10.44030650891055
4517081,2017-06-21 22:00:00.753,CA,ON,Windsor,42.243970000000004,-82.98058,POI3,9.486832980505138
4517175,2017-06-21 19:00:01.087,CA,ON,Saint Thomas,42.7792,-81.1927,POI3,8.54400374531753
4517220,2017-06-21 18:00:01.213,CA,ON,Waterloo,43.4634,-80.5201,POI3,7.280109889280518
4517250,2017-06-21 03:00:01.393,CA,ON,Chatham,42.4247,-82.1755,POI3,9.486832980505138
4517303,2017-06-21 03:00:00.287,CA,ON,Windsor,42.2957,-82.9599,POI3,9.486832980505138
4517326,2017-06-21 04:00:00.367,CA,ON,Guelph,43.5425,-80.2676,POI3,7.280109889280518
4517349,2017-06-21 14:00:00.420,CA,ON,Chatham,42.4247,-82.1755,POI3,9.486832980505138
4517420,2017-06-21 08:00:00.427,CA,ON,Guelph,43.5215,-80.2338,POI3,7.280109889280518
4517466,2017-06-21 03:00:01.157,CA,ON,Waterloo,43.4678,-80.584,POI3,7.280109889280518
4517518,2017-06-21 21:00:01.333,CA,ON,Waterloo,43.4634,-80.5201,POI3,7.280109889280518
4517538,2017-06-21 21:00:01.427,CA,ON,Kitchener,43.4453,-80.4905,POI3,7.280109889280518
4517607,2017-06-21 01:00:01.623,CA,ON,Chatham,42.4247,-82.1755,POI3,9.486832980505138
4517697,2017-06-21 12:00:01.790,CA,ON,Windsor,42.3262,-82.9084,POI3,9.486832980505138
4517720,2017-06-21 22:00:01.843,CA,ON,Kitchener,43.4397,-80.434,POI3,7.280109889280518
4517809,2017-06-21 17:00:00.030,CA,ON,London,43.0346,-81.2554,POI3,8.246211251235321
4517811,2017-06-21 12:00:00.150,CA,ON,Cambridge,43.4194,-80.3255,POI3,7.280109889280518
4517905,2017-06-21 17:00:00.183,CA,ON,Windsor,42.2957,-82.9599,POI3,9.486832980505138
4517999,2017-06-21 12:00:00.643,CA,ON,Kitchener,43.4553,-80.4845,POI3,7.280109889280518
4518000,2017-06-21 08:00:00.663,CA,ON,Kitchener,43.4676,-80.4847,POI3,7.280109889280518
4518002,2017-06-21 01:00:00.937,CA,ON,Kitchener,43.4397,-80.434,POI3,7.280109889280518
4518061,2017-06-21 14:00:01.123,CA,ON,Waterloo,43.4678,-80.584,POI3,7.280109889280518
4518130,2017-06-21 00:00:01.333,CA,ON,London,43.0004,-81.2343,POI3,8.246211251235321
4518153,2017-06-21 09:00:01.353,CA,ON,Guelph,43.5425,-80.2676,POI3,7.280109889280518
4518212,2017-06-21 16:00:01.413,CA,ON,Kitchener,43.4278,-80.5135,POI3,7.280109889280518
4518264,2017-06-21 04:00:01.453,CA,ON,Cambridge,43.3842,-80.2968,POI3,7.280109889280518
4518329,2017-06-21 14:00:01.797,CA,ON,London,42.9399,-81.2709,POI3,8.54400374531753
4518395,2017-06-21 08:00:02.080,CA,ON,Windsor,42.2908,-82.98700000000002,POI3,9.486832980505138
4518430,2017-06-21 09:00:02.550,CA,ON,Brantford,43.1772,-80.248,POI3,7.280109889280518
4518434,2017-06-21 10:00:02.610,CA,ON,Guelph,43.5776,-80.2201,POI3,7.280109889280518
4518512,2017-06-21 01:00:02.797,CA,ON,London,42.9611,-81.2431,POI3,8.54400374531753
4518585,2017-06-21 06:00:02.827,CA,ON,Guelph,43.5776,-80.2201,POI3,7.280109889280518
4518676,2017-06-21 05:00:02.857,CA,ON,Kitchener,43.4397,-80.434,POI3,7.280109889280518
4518758,2017-06-21 13:00:02.867,CA,ON,Kitchener,43.4397,-80.434,POI3,7.280109889280518
4518814,2017-06-21 13:00:03.793,CA,ON,Cambridge,43.3842,-80.2968,POI3,7.280109889280518
4518832,2017-06-21 03:00:03.903,CA,ON,Kitchener,43.4397,-80.434,POI3,7.280109889280518
4518887,2017-06-21 18:00:04.017,CA,ON,Waterloo,43.4634,-80.5201,POI3,7.280109889280518
4518918,2017-06-21 08:00:04.167,CA,ON,London,42.9399,-81.2709,POI3,8.54400374531753
4518952,2017-06-21 06:00:00.217,CA,ON,Kitchener,43.4193,-80.3826,POI3,7.280109889280518
4518992,2017-06-21 09:00:00.380,CA,ON,Waterloo,43.4678,-80.584,POI3,7.280109889280518
4519004,2017-06-21 07:00:00.747,CA,ON,Tillsonburg,42.86185,-80.72991,POI3,7.615773105863909
4519038,2017-06-21 07:00:00.803,CA,ON,Windsor,42.2287,-83.0182,POI3,10.44030650891055
4519097,2017-06-21 02:00:00.823,CA,ON,London,42.9399,-81.2709,POI3,8.54400374531753
4519118,2017-06-21 19:00:00.910,CA,ON,Windsor,42.2287,-83.0182,POI3,10.44030650891055
4519156,2017-06-21 10:00:01.010,CA,ON,Windsor,42.2287,-83.0182,POI3,10.44030650891055
4519209,2017-06-21 00:00:01.257,CA,ON,Hanover,44.1517,-81.0266,POI3,8.06225774829855
4519287,2017-06-21 10:00:01.360,CA,ON,Kitchener,43.3904,-80.4317,POI3,7.280109889280518
4519378,2017-06-21 02:00:02.290,CA,ON,Kitchener,43.4397,-80.434,POI3,7.280109889280518
4519477,2017-06-21 08:00:02.710,CA,ON,Windsor,42.2957,-82.9599,POI3,9.486832980505138
4519555,2017-06-21 22:00:03.890,CA,ON,Waterloo,43.4663,-80.5402,POI3,7.280109889280518
4519604,2017-06-21 22:00:04.240,CA,ON,Kitchener,43.4193,-80.3826,POI3,7.280109889280518
4519633,2017-06-21 10:00:04.303,CA,ON,London,42.9699,-81.2081,POI3,8.54400374531753
